id,family_title,indicator,scope,frequency,status
F06-06,Global financial conditions,USD index / major FX / USDSGD,global/SG,D,PUBLIC_EXACT_DOWNLOAD
F06-07,Global financial conditions,"Equity indices (S&P 500, STI, regional)",global,D,NEEDS_REVIEW
F06-08,Global financial conditions,,global,event,PUBLIC_EXACT_RELEASE
F06-09,Global financial conditions,"General government expenditure (% of GDP), G20 advanced economies, 2022–2027f",G20 AEs,A,PUBLIC_EXACT_API
F07-01,AI & technology,Global semiconductor sales,world/regions,M,PUBLIC_COMPILED_RELEASES
F07-02,AI & technology,Gartner semiconductor revenue,world,A,PUBLIC_VISIBLE_RESTRICTED
F07-03,AI & technology,SEMI equipment billings / fab equipment spending,world/regions,M/Q/A,PUBLIC_COMPILED_RELEASES
F07-04,AI & technology,SEMI World Fab Forecast headline,world,A/vintage,PUBLIC_COMPILED_RELEASES
F07-05,AI & technology,Hyperscaler capex,US firms,Q/A,PUBLIC_EXACT_DOWNLOAD
F07-06,AI & technology,Global AI-related exports by origin country (canonical row F02-07),19 economies,Q,PUBLIC_RECONSTRUCTED
F07-07,AI & technology,Electronics IIP (SG) paired with electronics PMI,SG,M,NEEDS_REVIEW
F07-08,AI & technology,Precision engineering cluster output (SG),SG,M,NEEDS_REVIEW
F07-09,AI & technology,AI investment boom as regional growth-support factor (narrative/risk element + defensible quantitative proxies),global/region,Q/A,PUBLIC_PARTIAL
F07-10,AI & technology,"Semiconductor equipment exports (JP, NL)","JP, NL",M,PUBLIC_EXACT_API
F08-01,Energy & commodity markets,Brent crude spot price and official forecast-vintage comparison,global,D/M,NEEDS_REVIEW
F08-02,Energy & commodity markets,WTI crude spot,global,D/M,NEEDS_REVIEW
F08-03,Energy & commodity markets,Natural gas,US,D/M,NEEDS_REVIEW
F08-04,Energy & commodity markets,Natural gas/LNG,Asia,D/W/M,PUBLIC_PARTIAL
F08-05,Energy & commodity markets,Container freight rates (public indices restricted; cited with link-out),global routes,W,PUBLIC_VISIBLE_RESTRICTED
F08-06,Energy & commodity markets,Global/port vessel traffic & throughput,global/SG,W/M,PUBLIC_EXACT_DOWNLOAD
F08-07,Energy & commodity markets,Vessels transiting the Strait of Hormuz (7-day moving average),SoH,D/W,PUBLIC_EXACT_DOWNLOAD
F08-08,Energy & commodity markets,Global fertiliser prices (urea exact; no public global ammonia price series),global,M,PUBLIC_PARTIAL
F08-09,Energy & commodity markets,"Global food commodity prices (vegetable oils, grains, …; FAO FPI + components)",global,M,NEEDS_REVIEW
F08-10,Energy & commodity markets,Singapore sectoral reliance on petroleum imports (documented input-output method),SG,static/A,PUBLIC_RECONSTRUCTED
F08-11,Energy & commodity markets,Singapore electricity generation and fuel mix,SG,M/Q/A,PUBLIC_EXACT_DOWNLOAD
F08-12,Energy & commodity markets,Broader commodity indices,global,M,NEEDS_REVIEW
F08-13,Energy & commodity markets,Commodity shares of trade transiting the Strait of Hormuz (published estimates vary; range shown),SoH,static,PUBLIC_RECONSTRUCTED
F08-14,Energy & commodity markets,Persian Gulf share of global energy and fertiliser supply (published estimates vary; range shown),Gulf,static,PUBLIC_RECONSTRUCTED
F08-15,Energy & commodity markets,Channels of ME-conflict impact on food prices (4 channels: biofuel demand; farm diesel; processing electricity; fertiliser→yields),global,n/a,REQUIREMENT
F08-16,Energy & commodity markets,Natural gas,Europe,M (D restricted),NEEDS_REVIEW
F09-01,Singapore food prices,CPI: food; food excl. food services; food services,SG,M,PUBLIC_EXACT_API
F09-02,Singapore food prices,Frequently-purchased-items price index (no public source identified),SG,M,UNAVAILABLE
F09-03,Singapore food prices,"Weekly supermarket price index, key food items tier 1 (no public source identified)",SG,W,UNAVAILABLE
F09-04,Singapore food prices,Imported food price index (food and live animals),SG,M/Q,PUBLIC_EXACT_API
F09-05,Singapore food prices,"Food-services price index (hawker centres, food courts, coffee shops)",SG,M,PUBLIC_EXACT_API
F09-06,Singapore food prices,Global→SG food-price transmission set (Buckets 1→2→3 aligned),SG,M,PUBLIC_RECONSTRUCTED
F09-07,Singapore food prices,"Weekly supermarket price index, key food items tier 2 (no public source identified)",SG,W,UNAVAILABLE
F10-01,"ME Conflict@PULSE / shock monitor (inv§10, brief§37) — **DESCOPED (D-022)**",,,,DESCOPED
F10-02,"ME Conflict@PULSE / shock monitor (inv§10, brief§37) — **DESCOPED (D-022)**",,,,DESCOPED
F10-03,"ME Conflict@PULSE / shock monitor (inv§10, brief§37) — **DESCOPED (D-022)**",,,,DESCOPED
F10-04,"ME Conflict@PULSE / shock monitor (inv§10, brief§37) — **DESCOPED (D-022)**",,,,DESCOPED
F10-05,"ME Conflict@PULSE / shock monitor (inv§10, brief§37) — **DESCOPED (D-022)**",,,,DESCOPED
F10-06,"ME Conflict@PULSE / shock monitor (inv§10, brief§37) — **DESCOPED (D-022)**",,,,DESCOPED
F10-07,"ME Conflict@PULSE / shock monitor (inv§10, brief§37) — **DESCOPED (D-022)**",,,,DESCOPED
F11-01,Singapore GDP & growth,"Real GDP growth: quarterly + full-year; advance estimates vs final, explicitly flagged",,Q,PUBLIC_EXACT_API
F11-02,Singapore GDP & growth,"GDP by sector: manufacturing, construction, services detail (finance & insurance, wholesale & retail, transport & storage, accommodation & food, infocomm, …)",,Q,PUBLIC_EXACT_API
F11-03,Singapore GDP & growth,Official Singapore GDP forecast range (release vintages),,per release,PUBLIC_EXACT_RELEASE
F11-04,Singapore GDP & growth,"NODX: total, electronics/non-electronics, by market",,M,PUBLIC_EXACT_API
F11-05,Singapore GDP & growth,"Total merchandise trade (X, M, balance)",,M,PUBLIC_EXACT_API
F11-06,Singapore GDP & growth,Quarterly GDP nowcast (no public source; any future analogue would be separately labelled),,Q,UNAVAILABLE
F11-07,Singapore GDP & growth,Qualitative company-visit summaries (no public source),,Q,UNAVAILABLE
F12-01,Singapore labour market,"Employment change: total, residents, non-residents",,Q (+M where published),PUBLIC_EXACT_API
F12-02,Singapore labour market,"Unemployment rates: overall, resident, citizen (sa); annual trend reviews",,Q/M,PUBLIC_EXACT_API
F12-03,Singapore labour market,Retrenchments,,Q,PUBLIC_EXACT_API
F12-04,Singapore labour market,Job vacancies: levels + by broad occupational group; vacancies-to-unemployed ratio,,Q,PUBLIC_EXACT_API
F12-05,Singapore labour market,Wage growth (quarterly trend reviews),,Q/A,PUBLIC_EXACT_API
F12-06,Singapore labour market,Average monthly earnings: nominal AND real,,Q,PUBLIC_EXACT_API
F12-07,Singapore labour market,"Labour detail dimensions (age, residency, occupation, industry) where published",,Q/A,PUBLIC_EXACT_API
F13-01,Singapore sectoral performance,"IIP by cluster: electronics, precision engineering, chemicals (incl. feedstock-shock views, e.g. −17.6% yoy Apr 2026), biomedical, transport engineering, general manufacturing",,M,PUBLIC_EXACT_API
F13-02,Singapore sectoral performance,Manufacturing sector performance & outlook panels,,M/Q,PUBLIC_EXACT_API
F13-03,Singapore sectoral performance,"Retail sales index (total, ex-motor; annual reviews)",,M,PUBLIC_EXACT_API
F13-04,Singapore sectoral performance,F&B services index (annual reviews),,M,PUBLIC_EXACT_API
F13-05,Singapore sectoral performance,"Construction sector: output, contracts awarded, progress payments, outlook",,M/Q,PUBLIC_EXACT_API
F13-06,Singapore sectoral performance,"Tourism: international visitor arrivals (monthly), receipts, hotel indicators",,M/Q,PUBLIC_EXACT_API
F13-07,Singapore sectoral performance,"Air transport: passengers, aircraft movements, air cargo; aerospace segment (part of transport engineering) performance",,M,PUBLIC_EXACT_API
F13-08,Singapore sectoral performance,"Water transport: container throughput, sea cargo, vessel arrivals, bunker sales; paired with sea freight rates (F08-05)",,M,PUBLIC_EXACT_API
F13-09,Singapore sectoral performance,Finance & insurance: performance; loans to businesses incl. domestically- vs outward-oriented split (mapping documented),,M/Q,PUBLIC_EXACT_API
F13-10,Singapore sectoral performance,Property: private residential prices & transactions; commercial prices & vacancy,,Q,PUBLIC_EXACT_API
F13-11,Singapore sectoral performance,Services turnover / business receipts indices,,Q,PUBLIC_EXACT_API
F13-12,Singapore sectoral performance,Accommodation sector performance (1Q25-style reviews),,Q,PUBLIC_EXACT_API
F14-01,Singapore business sentiment & confidence,Business Expectations Survey,,Q,PUBLIC_EXACT_API
F14-02,Singapore business sentiment & confidence,Business Expectations Survey,,Q,PUBLIC_EXACT_API
F14-03,Singapore business sentiment & confidence,Business confidence index (publisher unidentified; candidates under review),,M,NEEDS_REVIEW
F14-04,Singapore business sentiment & confidence,Consumer confidence index (publisher unidentified; candidates under review),,M/Q,NEEDS_REVIEW
F14-05,Singapore business sentiment & confidence,News-based economic sentiment index (no public source identified),,M,UNAVAILABLE
F14-06,Singapore business sentiment & confidence,Corporate health index (publisher unidentified; public candidates under review),,M/Q,NEEDS_REVIEW
F14-08,Singapore business sentiment & confidence,Corporate distress index (publisher unidentified; public candidates under review),,M/Q,NEEDS_REVIEW
F15-01,China-specific indicators,Industrial production,,M,PUBLIC_EXACT_API
F15-02,China-specific indicators,Fixed asset investment,,M ytd,PUBLIC_EXACT_API
F15-03,China-specific indicators,Retail sales (incl. consumer trade-in scheme impact views),,M,PUBLIC_EXACT_API
F15-04,China-specific indicators,Merchandise exports by destination: US vs non-US partners,,M,PUBLIC_EXACT_API
F15-05,China-specific indicators,"Property market: new home sales (yoy), average home prices (70-city), investment",,M,PUBLIC_EXACT_API
F15-06,China-specific indicators,"Credit: TSF, RMB loans, M2",,M,PUBLIC_EXACT_API
F15-07,China-specific indicators,Surveyed & youth unemployment,,M,PUBLIC_EXACT_API
F15-08,China-specific indicators,"CPI, core CPI, PPI (deflation trends)",,M,PUBLIC_EXACT_API
F15-09,China-specific indicators,China PMIs (official plus private-sector general PMI),,M,PUBLIC_COMPILED_RELEASES
F15-10,China-specific indicators,LPR / policy instruments,,M,PUBLIC_EXACT_API
F15-11,China-specific indicators,Industrial/corporate profits,,M ytd,PUBLIC_EXACT_API
F16-01,Eurozone-specific indicators,"HICP: headline, core, services (+ decomposition F04-05)",,M,PUBLIC_EXACT_API
F16-02,Eurozone-specific indicators,Unemployment rate,,M,PUBLIC_EXACT_API
F16-03,Eurozone-specific indicators,Industrial production,,M,PUBLIC_EXACT_API
F16-04,Eurozone-specific indicators,Retail sales (monthly trends),,M,PUBLIC_EXACT_API
F16-05,Eurozone-specific indicators,ECB policy rate path & decisions,,per meeting,PUBLIC_EXACT_API
F16-06,Eurozone-specific indicators,Eurozone consumer sentiment and economic sentiment indicators,,M,PUBLIC_EXACT_DOWNLOAD
F16-07,Eurozone-specific indicators,Merchandise exports incl. US-tariff exposure views,,M,PUBLIC_EXACT_API
F16-08,Eurozone-specific indicators,Negotiated wages / labour costs,,Q,PUBLIC_EXACT_API
F16-09,Eurozone-specific indicators,"GDP by country: Germany, France, Spain, Italy, Ireland",,Q,PUBLIC_EXACT_API
F16-10,Eurozone-specific indicators,Eurozone inflation expectations,,M/Q,PUBLIC_EXACT_API
F17-01,"Feature stories / Insights (inv§17, brief§38) — **DESCOPED (D-022)**",Story template: 3–6 live charts + concise analytical narrative + source notes + methodology + publication/update dates,,,DESCOPED
F17-02,"Feature stories / Insights (inv§17, brief§38) — **DESCOPED (D-022)**","Story data-binding: charts are live app components on snapshot data, not screenshots",,,DESCOPED
F17-03,"Feature stories / Insights (inv§17, brief§38) — **DESCOPED (D-022)**",Story index page + maintainable authoring format (Markdown/MDX),,,DESCOPED
F17-04,"Feature stories / Insights (inv§17, brief§38) — **DESCOPED (D-022)**",Launch-content candidates reproducing the original story list where data permit: Trump 2.0 tariff impact (Mar 25); Exposure to US reciprocal tariffs (Apr 25); State of the US economy (Jun 25); Sea freight rates (Jul 25); US tariff pass-through & labour market (Sep 25); Thai economy & political volatility (Sep 25); China exports & US imports (Oct 25); US K-shaped economy (Jan 26); Global merchandise trade 2025 (Jan 26); US-Israel-Iran conflict impact (Mar–Jul 26); Indonesia outlook (Jun–Jul 26),,,DESCOPED
F18-01,High-frequency dashboard panels & product structure,"Overview modules: global growth, trade, inflation, manufacturing, financial conditions, energy, SG growth/inflation/labour/mfg, current risks",,,REQUIREMENT
F18-02,High-frequency dashboard panels & product structure,"Singapore summary table: GDP, NODX, IIP, retail sales, F&B, sea cargo, loans, visitor arrivals, unemployment, employment growth, MAS Core Inflation, FPI",,,REQUIREMENT
F18-03,High-frequency dashboard panels & product structure,"Risk module: bullet list, 3–4 mechanistic downside risks (cause → channel → impact) + occasional upside (e.g. AI investment boom); opening-line conventions per inventory",,,REQUIREMENT
F18-04,High-frequency dashboard panels & product structure,Panel grammar: analytical title; 1–2 charts with source citations; 3–6 sentence narrative (current reading → trend → mechanism → outlook),,,REQUIREMENT
F18-05,High-frequency dashboard panels & product structure,,,,REQUIREMENT
F18-06,High-frequency dashboard panels & product structure,Three-part IA echo: External Economies / Singapore Economy / High-frequency Dashboards (+ Feature Story / Special Section slots),,,REQUIREMENT
X-01,requirements,Source status taxonomy applied to every indicator,,,REQUIREMENT
X-02,requirements,Observation-level provenance schema,,,REQUIREMENT
X-03,requirements,Forecast/actual/vintage separation everywhere (f‡ replaced by true provider labels),,,REQUIREMENT
X-04,requirements,Central tested transformation engine (incl. compounded qoq saar),,,REQUIREMENT
X-05,requirements,"Event dataset (tariff timeline, CB decisions, conflict events, financial-stress events) + opt-in chart annotations",,,REQUIREMENT
X-06,requirements,Validation gates deployment; last-known-good protected,,,REQUIREMENT
X-07,requirements,"Explorer with URL state, search, downloads, metadata drawers",,,REQUIREMENT
X-08,requirements,Public methodology + coverage pages,,,REQUIREMENT
X-09,requirements,"Glossary enforced: yoy, qoq saa/saar, bps, NODX, IIP, FPI, SNES, BCI, CVR, SoH, KFIs, NIEs = KR+TW+HK+SG; ""Eurozone"", ""South Korea"", ""US""; spell out on first reference",,,REQUIREMENT
X-10,requirements,,,,REQUIREMENT
X-11,requirements,"GitHub Pages static deployment, CI, scheduled refresh",,,REQUIREMENT
X-12,requirements,"Coverage score reporting, honest",,,REQUIREMENT
